dataset	query_id	relevant_count	eos_any_miss_at_10	external_both_hit_at_10	external_both_hit_at_1	external_same_top1_doc	source_first_relevant_ranks	source_ndcg_at_10	source_recall_at_100	source_top1_doc_ids
scifact	1	1	False	False	False	True	"{""bm25"": 0, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 2, ""mxbai"": 14, ""qwen3"": 0}"	"{""bm25"": 0.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 0.6309297535714574, ""mxbai"": 0.0, ""qwen3"": 0.0}"	"{""bm25"": 0.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 0.0}"	"{""bm25"": ""43385013"", ""eos_compact_q4_fp16_o200"": ""31715818"", ""eos_dense"": ""31715818"", ""hybrid_minmax_blend_a050"": ""10608397"", ""mxbai"": ""4346436"", ""qwen3"": ""4346436""}"
scifact	3	1	True	True	False	False	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 0, ""eos_dense"": 0, ""hybrid_minmax_blend_a050"": 5, ""mxbai"": 5, ""qwen3"": 3}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 0.38685280723454163, ""mxbai"": 0.38685280723454163, ""qwen3"": 0.5}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""14717500"", ""eos_compact_q4_fp16_o200"": ""13172737"", ""eos_dense"": ""13172737"", ""hybrid_minmax_blend_a050"": ""23389795"", ""mxbai"": ""19058822"", ""qwen3"": ""2739854""}"
scifact	5	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 2, ""eos_dense"": 2, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.6309297535714574, ""eos_dense"": 0.6309297535714574, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""13734012"", ""eos_compact_q4_fp16_o200"": ""474325"", ""eos_dense"": ""474325"", ""hybrid_minmax_blend_a050"": ""13734012"", ""mxbai"": ""13734012"", ""qwen3"": ""13734012""}"
scifact	13	1	False	False	False	False	"{""bm25"": 65, ""eos_compact_q4_fp16_o200"": 2, ""eos_dense"": 2, ""hybrid_minmax_blend_a050"": 5, ""mxbai"": 18, ""qwen3"": 25}"	"{""bm25"": 0.0, ""eos_compact_q4_fp16_o200"": 0.6309297535714574, ""eos_dense"": 0.6309297535714574, ""hybrid_minmax_blend_a050"": 0.38685280723454163, ""mxbai"": 0.0, ""qwen3"": 0.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""1263446"", ""eos_compact_q4_fp16_o200"": ""17450673"", ""eos_dense"": ""17450673"", ""hybrid_minmax_blend_a050"": ""17450673"", ""mxbai"": ""4791384"", ""qwen3"": ""1263446""}"
scifact	36	2	False	True	False	True	"{""bm25"": 10, ""eos_compact_q4_fp16_o200"": 3, ""eos_dense"": 3, ""hybrid_minmax_blend_a050"": 4, ""mxbai"": 2, ""qwen3"": 6}"	"{""bm25"": 0.17723928678404777, ""eos_compact_q4_fp16_o200"": 0.5437713091520254, ""eos_dense"": 0.5437713091520254, ""hybrid_minmax_blend_a050"": 0.4486438193521591, ""mxbai"": 0.38685280723454163, ""qwen3"": 0.2184074368181642}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""42441846"", ""eos_compact_q4_fp16_o200"": ""33409100"", ""eos_dense"": ""33409100"", ""hybrid_minmax_blend_a050"": ""33409100"", ""mxbai"": ""18557974"", ""qwen3"": ""18557974""}"
scifact	42	1	False	True	True	True	"{""bm25"": 2, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 0.6309297535714574, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""40913091"", ""eos_compact_q4_fp16_o200"": ""18174210"", ""eos_dense"": ""18174210"", ""hybrid_minmax_blend_a050"": ""18174210"", ""mxbai"": ""18174210"", ""qwen3"": ""18174210""}"
scifact	48	1	True	True	False	False	"{""bm25"": 2, ""eos_compact_q4_fp16_o200"": 0, ""eos_dense"": 0, ""hybrid_minmax_blend_a050"": 4, ""mxbai"": 3, ""qwen3"": 3}"	"{""bm25"": 0.6309297535714574, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 0.43067655807339306, ""mxbai"": 0.5, ""qwen3"": 0.5}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""18617259"", ""eos_compact_q4_fp16_o200"": ""5099266"", ""eos_dense"": ""5099266"", ""hybrid_minmax_blend_a050"": ""3716075"", ""mxbai"": ""27063470"", ""qwen3"": ""11349166""}"
scifact	49	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""5953485"", ""eos_compact_q4_fp16_o200"": ""5953485"", ""eos_dense"": ""5953485"", ""hybrid_minmax_blend_a050"": ""5953485"", ""mxbai"": ""5953485"", ""qwen3"": ""5953485""}"
scifact	50	1	True	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 0, ""eos_dense"": 0, ""hybrid_minmax_blend_a050"": 2, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 0.6309297535714574, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""12580014"", ""eos_compact_q4_fp16_o200"": ""17844478"", ""eos_dense"": ""17844478"", ""hybrid_minmax_blend_a050"": ""17844478"", ""mxbai"": ""12580014"", ""qwen3"": ""12580014""}"
scifact	51	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""45638119"", ""eos_compact_q4_fp16_o200"": ""45638119"", ""eos_dense"": ""45638119"", ""hybrid_minmax_blend_a050"": ""45638119"", ""mxbai"": ""45638119"", ""qwen3"": ""45638119""}"
